x,y
37.45,95.07
73.20,59.87
15.60,15.60
5.81,86.62
60.11,70.81
2.06,96.99
83.24,21.23
18.18,18.34
30.42,52.48
43.19,29.12
61.19,13.95
29.21,36.64
45.61,78.52
19.97,51.42
59.24,4.65
60.75,17.05
6.51,94.89
96.56,80.84
30.46,9.77
68.42,44.02
12.20,49.52
3.44,90.93
25.88,66.25
31.17,52.01
54.67,18.49
96.96,77.51
93.95,89.48
59.79,92.19
8.85,19.60
4.52,32.53
38.87,27.13
82.87,35.68
28.09,54.27
14.09,80.22
7.46,98.69
77.22,19.87
0.55,81.55
70.69,72.90
77.13,7.40
35.85,11.59
86.31,62.33
33.09,6.36
31.10,32.52
72.96,63.76
88.72,47.22
11.96,71.32
76.08,56.13
77.10,49.38
52.27,42.75
2.54,10.79
3.14,63.64
31.44,50.86
90.76,24.93
41.04,75.56
22.88,7.70
28.98,16.12
92.97,80.81
63.34,87.15
80.37,18.66
89.26,53.93
80.74,89.61
31.80,11.01
22.79,42.71
81.80,86.07
0.70,51.07
41.74,22.21
11.99,33.76
94.29,32.32
51.88,70.30
36.36,97.18
96.24,25.18
49.72,30.09
28.48,3.69
60.96,50.27
5.15,27.86
90.83,23.96
14.49,48.95
98.57,24.21
67.21,76.16
23.76,72.82
36.78,63.23
63.35,53.58
9.03,83.53
32.08,18.65
4.08,59.09
67.76,1.66
51.21,22.65
64.52,17.44
69.09,38.67
93.67,13.75
34.11,11.35
92.47,87.73
25.79,66.00
81.72,55.52
52.97,24.19
9.31,89.72
90.04,63.31
33.90,34.92
72.60,89.71
88.71,77.99
